Partlist,Value,Device,Parts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,.1u,C-EU0402-B-NOSILK,C85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0,R-US_0402-B-NOSILK,R2, R3, R4, R6, R7, R8, R10, R72, R116, R117, R118, R119, R120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.1u,C-EU0402-B-NOSILK,C83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.1uF,C-EU0402-B-NOSILK,C108, C109, C111, C112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.1uF/40V,C-EU0402-B-NOSILK,C94, C105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.01uF,C-EU0402-B-NOSILK,C114, C122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.047uF,C-EU0402-B-NOSILK,C116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.2k,R-US_0402-B-NOSILK,R48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1M,R-US_0402-B-NOSILK,R132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1k,R-US_0402-B-NOSILK,R14, R147, R148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1n,C-EU0402-B-NOSILK,C7, C29, C30, C31, C32, C33, C34, C35, C36, C37, C38, C40, C41, C42, C44, C45, C48, C49, C50, C51, C53, C54, C55, C56, C57, C126, C127, C128, C129, C130, C132, C133,,,,,,,,,,,,,,,
1,1n,R-US_0402-B-NOSILK,R151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1u,C-EU0603-B-NOSILK,C46, C47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1u/40V,C-EU0603-B-NOSILK,C43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1uF,C-EU0603-B-NOSILK,C115, C121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1uF/40V,C-EU0603-B-NOSILK,C113, C124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,R-US_1206-B,R11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2.2k,R-US_0402-B-NOSILK,R15, R17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2.2u,C-EU0603-B-NOSILK,C87, C88, C89, C90, C91, C92, C93, C103, C104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2.2u/Low ESR,C-EU0402-B-NOSILK,C8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2.2uF/40V,C-EU0805-B-NOSILK,C60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3.01M,R-US_0402-B-NOSILK,R133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3k,R-US_0402-B-NOSILK,R13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4.7u,C-EU0603-B-NOSILK,C52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4.7u,C-EU1206-B,C84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4.7uH/IHLP2525CZER4R7M01,IHLP-2525CZ-01,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4.02k,R-US_0402-B-NOSILK,R135, R136, R145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7.5,R-US_0603-B-NOSILK,R143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
