Partlist,Value,Device,Package,Manufacturer,Part#,Description,
C1,100n,C-EU0402-B-NOSILK,0402-B-NOSILK,,,CAPACITOR, European symbol
C2,100n,C-EU0402-B-NOSILK,0402-B-NOSILK,,,CAPACITOR, European symbol
C3,100n,C-EU0402-B-NOSILK,0402-B-NOSILK,,,CAPACITOR, European symbol
C4,100n,C-EU0402-B-NOSILK,0402-B-NOSILK,,,CAPACITOR, European symbol
C5,100n,C-EU0402-B-NOSILK,0402-B-NOSILK,,,CAPACITOR, European symbol
C6,100n,C-EU0402-B-NOSILK,0402-B-NOSILK,,,CAPACITOR, European symbol
C7,1n,C-EU0402-B-NOSILK,0402-B-NOSILK,,,CAPACITOR, European symbol
C8,2.2u/Low ESR,C-EU0402-B-NOSILK,0402-B-NOSILK,,,CAPACITOR, European symbol
C10,100n,C-EU0402-B-NOSILK,0402-B-NOSILK,,,CAPACITOR, European symbol
C11,100n,C-EU0402-B-NOSILK,0402-B-NOSILK,,,CAPACITOR, European symbol
C12,10n,C-EU0402-B-NOSILK,0402-B-NOSILK,,,CAPACITOR, European symbol
C13,100n,C-EU0402-B-NOSILK,0402-B-NOSILK,,,CAPACITOR, European symbol
C14,100n,C-EU0402-B-NOSILK,0402-B-NOSILK,,,CAPACITOR, European symbol
C15,100n,C-EU0402-B-NOSILK,0402-B-NOSILK,,,CAPACITOR, European symbol
C16,100n,C-EU0402-B-NOSILK,0402-B-NOSILK,,,CAPACITOR, European symbol
C17,100n,C-EU0402-B-NOSILK,0402-B-NOSILK,,,CAPACITOR, European symbol
C18,100n,C-EU0402-B-NOSILK,0402-B-NOSILK,,,CAPACITOR, European symbol
C19,100n,C-EU0402-B-NOSILK,0402-B-NOSILK,,,CAPACITOR, European symbol
C20,100n,C-EU0402-B-NOSILK,0402-B-NOSILK,,,CAPACITOR, European symbol
C21,100n,C-EU0402-B-NOSILK,0402-B-NOSILK,,,CAPACITOR, European symbol
C22,100n,C-EU0402-B-NOSILK,0402-B-NOSILK,,,CAPACITOR, European symbol
C23,100n,C-EU0402-B-NOSILK,0402-B-NOSILK,,,CAPACITOR, European symbol
C24,100n,C-EU0402-B-NOSILK,0402-B-NOSILK,,,CAPACITOR, European symbol
C25,100n,C-EU0402-B-NOSILK,0402-B-NOSILK,,,CAPACITOR, European symbol
C26,100n,C-EU0402-B-NOSILK,0402-B-NOSILK,,,CAPACITOR, European symbol
C27,100n,C-EU0402-B-NOSILK,0402-B-NOSILK,,,CAPACITOR, European symbol
C28,100n,C-EU0402-B-NOSILK,0402-B-NOSILK,,,CAPACITOR, European symbol
C29,1n,C-EU0402-B-NOSILK,0402-B-NOSILK,,,CAPACITOR, European symbol
C30,1n,C-EU0402-B-NOSILK,0402-B-NOSILK,,,CAPACITOR, European symbol
C31,1n,C-EU0402-B-NOSILK,0402-B-NOSILK,,,CAPACITOR, European symbol
C32,1n,C-EU0402-B-NOSILK,0402-B-NOSILK,,,CAPACITOR, European symbol
C33,1n,C-EU0402-B-NOSILK,0402-B-NOSILK,,,CAPACITOR, European symbol
C34,1n,C-EU0402-B-NOSILK,0402-B-NOSILK,,,CAPACITOR, European symbol
C35,1n,C-EU0402-B-NOSILK,0402-B-NOSILK,,,CAPACITOR, European symbol
C36,1n,C-EU0402-B-NOSILK,0402-B-NOSILK,,,CAPACITOR, European symbol
C37,1n,C-EU0402-B-NOSILK,0402-B-NOSILK,,,CAPACITOR, European symbol
C38,1n,C-EU0402-B-NOSILK,0402-B-NOSILK,,,CAPACITOR, European symbol
C39,100n/40V,C-EU0402-B-NOSILK,0402-B-NOSILK,,,CAPACITOR, European symbol
C40,1n,C-EU0402-B-NOSILK,0402-B-NOSILK,,,CAPACITOR, European symbol
C41,1n,C-EU0402-B-NOSILK,0402-B-NOSILK,,,CAPACITOR, European symbol
C42,1n,C-EU0402-B-NOSILK,0402-B-NOSILK,,,CAPACITOR, European symbol
