Screaming Circuits SMD component position file.

Centroid Data for pc board: "mcu_page_combined_routed.brd" as of: 6/10/2013 1:20:29 AM
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
C1,Bottom,1.649,1.467,225
C2,Bottom,1.624,1.310,45
C3,Top,1.789,1.129,315
C4,Top,2.430,1.375,315
C5,Bottom,2.121,1.092,225
C6,Top,2.001,1.946,135
C7,Bottom,3.695,2.244,270
C8,Bottom,2.230,1.535,45
C10,Bottom,2.313,2.155,90
C11,Bottom,2.075,0.925,0
C12,Bottom,3.980,0.520,180
C13,Bottom,4.175,1.411,180
C14,Bottom,4.114,0.996,180
C15,Bottom,3.941,1.226,270
C16,Top,2.990,0.945,180
C17,Top,3.220,2.200,270
C18,Top,2.885,1.470,0
C19,Top,3.210,0.795,90
C20,Bottom,3.940,1.545,90
C21,Bottom,3.190,0.795,90
C22,Top,3.570,2.170,0
C23,Top,2.866,1.993,90
C24,Top,2.920,1.285,90
C25,Bottom,3.836,1.225,270
C26,Top,2.872,1.283,90
C27,Top,3.490,0.785,0
C28,Top,3.490,2.210,0
C29,Bottom,3.248,2.398,0
C30,Bottom,3.126,2.402,180
C31,Bottom,2.874,1.283,90
C32,Bottom,2.689,1.327,180
C33,Bottom,2.669,1.890,180
C34,Bottom,2.870,1.720,90
C35,Bottom,3.644,2.244,270
C36,Bottom,2.681,2.598,90
C37,Bottom,2.707,1.667,180
C38,Bottom,2.809,1.530,90
C39,Bottom,0.591,0.472,180
C40,Bottom,1.772,2.598,90
C41,Bottom,3.366,0.780,0
C42,Bottom,3.386,0.673,270
C43,Bottom,0.591,0.394,180
C44,Bottom,0.866,2.598,90
C45,Bottom,3.504,0.406,270
C46,Bottom,1.731,1.561,135
C47,Bottom,2.013,1.305,45
C48,Bottom,3.543,0.551,270
C49,Bottom,2.693,1.189,180
C50,Bottom,2.713,1.063,180
C51,Bottom,1.693,0.394,270
C52,Bottom,3.586,1.186,270
C53,Bottom,1.742,0.551,270
C54,Bottom,3.043,0.677,90
C55,Bottom,3.106,0.673,270
C56,Bottom,0.791,0.390,270
C57,Bottom,3.583,2.598,90
C60,Bottom,0.454,0.824,90
C61,Bottom,3.102,1.926,0
C62,Top,3.490,2.170,0
C63,Top,3.385,2.170,180
C64,Top,2.912,1.026,0
C65,Top,2.915,1.720,270
C66,Top,2.915,1.995,90
C67,Top,2.885,1.535,0
C68,Top,3.375,0.825,180
C69,Top,3.905,0.805,180
C70,Top,3.490,0.825,0
C71,Top,3.570,0.825,0
C72,Top,3.666,2.170,0
C73,Top,2.870,1.720,270
C74,Top,3.570,2.210,0
C75,Top,4.260,1.045,90
C76,Bottom,3.890,1.225,270
C77,Bottom,4.094,1.844,180
C78,Bottom,3.800,1.515,0
C79,Bottom,3.511,1.941,90
C80,Bottom,3.144,1.838,0
C81,Bottom,3.280,1.139,270
C82,Bottom,3.264,1.477,0
C83,Bottom,4.063,0.520,0
C84,Bottom,3.799,1.898,90
C85,Bottom,4.097,1.568,270
C86,Bottom,1.969,1.264,45
C87,Bottom,2.220,2.543,270
C88,Bottom,3.126,2.543,270
C89,Bottom,4.031,2.543,270
C90,Bottom,1.317,2.543,270
C91,Bottom,3.055,0.472,90
C92,Bottom,1.244,0.472,90
C93,Bottom,2.150,0.472,90
C94,Bottom,1.234,0.911,180
C95,Top,3.819,2.593,90
C96,Top,2.913,2.593,90
C97,Top,2.008,2.593,90
C98,Top,3.268,0.421,270
C99,Top,1.102,2.593,90
C100,Top,1.457,0.421,270
C101,Top,2.362,0.421,270
C102,Bottom,1.354,1.196,270
C103,Top,0.696,2.065,0
C104,Top,0.888,2.065,180
C105,Top,1.040,1.191,270
C106,Bottom,1.882,1.331,315
C107,Bottom,1.772,1.437,135
C108,Top,1.050,1.396,90
C109,Top,1.095,1.278,0
C110,Bottom,0.906,1.454,90
C111,Top,0.619,1.310,90
C112,Top,0.619,1.415,90
C113,Bottom,0.819,1.074,180
C114,Bottom,0.307,1.425,90
C115,Top,0.767,1.137,270
C116,Bottom,0.685,1.036,270
C117,Top,0.430,1.010,270
C118,Top,0.330,1.010,270
C119,Top,0.291,1.551,270
C120,Top,0.193,1.551,270
C121,Top,1.115,1.366,90
C122,Top,0.739,1.490,90
C123,Top,1.190,1.006,90
C124,Top,1.010,1.011,90
C125,Top,1.090,1.006,90
C126,Bottom,2.618,2.441,90
C127,Bottom,3.524,2.441,90
C128,Bottom,1.713,2.441,90
C129,Bottom,0.807,2.441,90
C130,Bottom,2.598,0.394,270
C132,Bottom,2.638,0.551,270
C133,Bottom,0.866,0.610,270
C134,Bottom,1.827,1.382,45
D1,Bottom,3.925,0.575,0
D2,Bottom,3.984,0.406,90
D3,Bottom,3.917,0.406,90
D4,Bottom,0.529,1.056,270
D5,Bottom,0.576,0.576,0
E5,Bottom,2.070,1.362,225
L1,Top,0.671,0.943,180
L2,Top,3.642,2.677,270
L3,Top,2.736,2.677,270
L4,Top,1.831,2.677,270
L5,Top,2.539,0.315,90
L6,Top,1.634,0.315,90
L7,Top,3.445,0.315,90
L8,Top,0.925,2.677,270
L9,Top,3.445,2.677,270
L10,Top,2.539,2.677,270
L11,Top,1.831,0.315,90
L12,Top,1.634,2.677,270
L13,Top,0.728,2.677,270
L14,Top,2.736,0.315,90
L15,Top,3.642,0.315,90
L16,Top,0.669,0.335,90
L17,Top,0.925,0.335,90
LED1,Top,3.287,2.461,270
LED2,Top,3.287,2.547,0
LED3,Top,2.382,2.634,0
LED4,Top,2.382,2.547,0
LED5,Top,2.382,2.461,270
LED6,Top,1.476,2.634,0
LED7,Top,1.476,2.547,0
LED8,Top,0.571,2.634,0
LED9,Top,1.476,2.461,270
LED10,Top,0.571,2.547,0
LED11,Top,3.799,0.354,0
LED12,Top,3.799,0.441,0
LED13,Top,0.571,2.461,270
LED14,Top,1.988,0.354,0
LED15,Top,1.988,0.441,0
LED16,Top,2.894,0.354,0
LED17,Top,1.043,0.335,270
LED18,Top,2.894,0.441,0
LED21,Top,1.988,0.528,270
LED22,Top,0.587,2.232,180
LED25,Top,2.894,0.528,270
LED29,Top,3.799,0.528,270
LED33,Top,1.558,1.318,270
LED37,Top,1.632,1.167,0
LED38,Top,4.177,2.280,90
LED39,Top,3.287,2.634,0
Q2,Top,1.398,1.339,90
Q3,Top,1.378,1.024,270
Q4,Top,0.381,1.253,270
Q5,Top,0.914,0.825,270
Q6,Bottom,1.414,1.046,0
Q7,Top,0.914,1.003,270
R1,Bottom,3.287,2.461,180
R2,Bottom,4.059,2.323,90
R3,Top,3.777,2.172,180
R4,Bottom,4.016,2.323,270
R5,Bottom,2.382,2.461,180
R6,Bottom,3.981,2.244,270
R7,Bottom,3.933,2.244,270
R8,Bottom,3.894,2.323,270
R9,Bottom,1.476,2.461,180
R10,Bottom,3.749,2.244,90
R11,Bottom,0.364,0.732,270
R12,Bottom,1.686,1.245,225
R13,Bottom,2.885,1.505,0
R14,Bottom,3.799,0.587,180
R15,Bottom,1.609,1.695,225
R16,Bottom,0.571,2.461,180
R17,Bottom,1.639,1.724,225
R18,Bottom,2.015,0.820,180
R19,Bottom,3.287,2.504,0
